COUNTRY_REGION,DECADE,VALUE_HFA_33,VALUE_HFA_36,VALUE_HFA_39,VALUE_HFA_43,VALUE_HFA_426
SVN,2000,24792.13,,20.75,79.46,10.52
SWE,2000,29624.91,,,79.92,6.2
SWE,2000,27247.86,,,80.01,6.5
SWE,2000,29899.2,,,80.09,6.88
SWE,2000,37321.8,,,80.37,6.88
SWE,2000,42821.67,,31.87,80.54,6.51
SWE,2000,43437.06,,32.72,80.82,6.53
SWE,2000,46593.6,,33.49,81.05,6.81
SWE,2000,53700.01,,34.28,81.19,6.98
SWE,2000,56152.55,,32.29,81.35,7.02
SWE,2000,46946.96,,33.05,81.6,7.31
TJK,2000,138.43,99.45,19.82,72.5,0.81
TJK,2000,171.05,,,72.17,0.8
TJK,2000,190,,,72.15,0.8
TJK,2000,237.76,,,72.77,0.74
TJK,2000,311.63,,,73.34,0.7
TJK,2000,340.58,,,73.72,0.65
TJK,2000,408.84,,,,0.56
TJK,2000,526.64,,,,0.54
TJK,2000,715.87,,,,0.56
TJK,2000,676.12,,,,0.66
TKM,2000,643.18,,,67.7,2.89
TKM,2000,774.48,,,69.07,2.36
TKM,2000,967.89,,,68.79,2.41
TKM,2000,1283.91,,,68.91,2.57
TKM,2000,1453.92,,,69.53,2.58
TKM,2000,1704.42,,,68.9,2.63
TKM,2000,2136.47,,,69.6,2.54
TKM,2000,2600.37,,,69.69,2.23
TKM,2000,3904.47,,,70.07,2.12
TKM,2000,4036.46,,,71.31,2
TUR,2000,4337.48,,,,1.66
TUR,2000,3142.92,,,,1.6
TUR,2000,3687.96,,,,1.59
TUR,2000,4760.1,,,,1.53
TUR,2000,6101.63,87.37,7.33,,1.48
TUR,2000,7456.3,88.23,7.93,,1.39
TUR,2000,8101.86,88.12,8.54,,1.39
TUR,2000,9791.88,88.66,8.93,,1.37
TUR,2000,10941.17,,9.85,,1.51
TUR,2000,9103.47,90.82,10.71,76.21,1.52
UKR,2000,658.35,,,67.88,6.95
UKR,2000,807.8,99.43,38.14,68.09,7.31
UKR,2000,911.91,,,67.85,7.13
UKR,2000,1087.79,,,67.83,6.81
UKR,2000,1416.6,,,67.71,6.51
UKR,2000,1894.47,,,67.29,6.82
UKR,2000,2391.32,,,67.99,7.42
UKR,2000,3197.93,,,67.67,8.12
UKR,2000,4066.55,,,68.07,9.41
UKR,2000,2639.39,,,69.69,8.97
UZB,2000,558.23,98.64,,69.57,3.03
UZB,2000,456.71,,,70.08,2.92
UZB,2000,383.34,,,70.01,2.73
UZB,2000,396.38,,,70.36,2.92
UZB,2000,465.12,,,71.17,2.82
UZB,2000,546.78,,,70.54,1.76
UZB,2000,654.28,,,,1.81
UZB,2000,830.41,,,,1.75
UZB,2000,1082.29,,,,1.72
UZB,2000,1213.27,,,72.95,1.7
WESTERN_BALKANS,2000,1217.96,,,73.18,5.74
WESTERN_BALKANS,2000,1624.46,,,73.94,5.96
WESTERN_BALKANS,2000,1976.52,,,73.8,5.62
WESTERN_BALKANS,2000,2552.33,,,73.83,5.92
WESTERN_BALKANS,2000,3025.45,,,74.1,6
WESTERN_BALKANS,2000,3286.22,,,74.3,7
WESTERN_BALKANS,2000,3793.83,,,74.78,6.7
WESTERN_BALKANS,2000,4867.83,,,75.28,7.06
WESTERN_BALKANS,2000,5898.05,,,75.43,7.21
WESTERN_BALKANS,2000,5304.71,,,75.65,7.19
WHO_EURO,2000,11737.62,,,73.98,9.27
WHO_EURO,2000,11823.22,,,74.21,9.35
WHO_EURO,2000,12911.83,,,74.22,9.3
WHO_EURO,2000,15619.28,,,74.23,9.33
WHO_EURO,2000,18114.75,,,74.73,9.36
WHO_EURO,2000,19206.73,,,74.79,9.28
WHO_EURO,2000,20758.48,,,75.4,9.35
WHO_EURO,2000,24153.3,,,75.72,9.44
WHO_EURO,2000,26477.94,,,75.98,9.34
WHO_EURO,2000,23212.8,,,76.41,8.92
ALB,1990,617.23,77,,72.61,2.03
ALB,1990,336.59,,,,1.28
ALB,1990,200.85,85,,73.22,1.35
ALB,1990,367.28,85,,73.74,1.49
ALB,1990,586.42,85,,75.68,2.77
ALB,1990,750.6,81.2,,75.02,2.87
ALB,1990,1009.98,,,74.79,3.12
ALB,1990,717.38,85,,75.36,2.22
ALB,1990,813.79,83.5,,75.25,1.54
ALB,1990,1033.24,,,76.32,2.19
AND,1990,18878.85,,,,
AND,1990,19534.26,,,,
AND,1990,20549.81,,,,
AND,1990,16515.66,,,,
AND,1990,16235.07,,,,
AND,1990,18458.17,,,,
AND,1990,19016.29,,,,
AND,1990,18355.63,,,,
AND,1990,18895.11,,,,
AND,1990,19262.31,,,,
ARM,1990,637.86,97.5,,72.08,3.18
ARM,1990,590.51,,,72.58,2.98
ARM,1990,369.71,98.8,,71.54,2.52
ARM,1990,357.2,98.8,,71.15,2.71
ARM,1990,400.52,98.8,,72.52,4.34
ARM,1990,456.37,98,,72.99,2.98
ARM,1990,504.06,,,73.21,2.92
ARM,1990,523.28,98.8,,74.08,2.84
ARM,1990,609.17,98.2,,74.91,1.9
ARM,1990,597.43,,,74.84,2.16
AUT,1990,21680.99,99,,75.9,13.9
AUT,1990,22410.91,99,6.1,75.95,14.1
AUT,1990,24880.16,99,,76.13,13.6
AUT,1990,24081.53,99,,76.33,13.5
AUT,1990,25646.7,99,,76.71,12.5
AUT,1990,30325.85,99,,76.97,13.4
AUT,1990,29809.08,,,77.24,13.5
AUT,1990,26705.48,99,,77.61,12.9
AUT,1990,27361.88,99,,77.93,12.9
AUT,1990,27183.48,,,78.13,12.8
AZE,1990,1234.53,97,,71.35,2.92
AZE,1990,1209.19,97.3,14,71.07,2.88
AZE,1990,60.46,96.3,,68.89,4.31
AZE,1990,209.48,96.3,,68.6,2.91
AZE,1990,157.09,96.3,,67.93,1.37
AZE,1990,314.56,96.3,,69.46,1.23
AZE,1990,409.16,,,70.42,1.44
AZE,1990,505.5,96.3,,71,0.71
AZE,1990,561.91,99,,71.73,1.7
AZE,1990,573.92,98.79,32.6,71.73,1.16
BEL,1990,20600.38,99,,76.26,12.18
BEL,1990,21041.66,,,76.41,11.44
BEL,1990,23372.62,99,,76.54,11.65
BEL,1990,22283.94,99,,76.49,11.66
BEL,1990,24208.55,99,,76.88,11.12
BEL,1990,28413.83,99,,77.06,11.04
BEL,1990,27489.56,,,77.4,10.94
BEL,1990,24820.94,99,,77.54,10.92
BEL,1990,25338.44,99,,77.69,9.92
BEL,1990,25252.8,,,77.85,10.1
BGR,1990,2366.53,97.2,,71.48,11.46
BGR,1990,1267.73,,,71.45,9.47
BGR,1990,1211.98,,15,71.19,10.15
BGR,1990,1278.25,,,71.15,9.86
BGR,1990,1148.49,,,70.84,9.7
BGR,1990,2258.29,97.9,,70.99,9.51
BGR,1990,1470.1,,,70.94,9.18
BGR,1990,1361.39,98.2,,70.28,8.13
BGR,1990,1820.41,98.2,,70.93,7.86
BGR,1990,1659.72,,,71.66,7.65
BIH,1990,319.01,,,,8.19
BIH,1990,487.48,,,,8.47
BIH,1990,740.1,,,,9.68
BIH,1990,982.8,,,,10
BIH,1990,1102.39,,,,8.37
BIH,1990,1251.75,,,,8.57
BLR,1990,2124.77,99.5,,71.24,7.85
BLR,1990,1765.74,,,70.68,8.87
BLR,1990,1667.61,97.9,,70.36,8.7
BLR,1990,1590.09,97.9,,69.21,10.23
BLR,1990,1460.07,97.9,,68.99,9.86
BLR,1990,1370.7,99.6,,68.58,9.35
BLR,1990,1452.51,,,68.61,10.45
BLR,1990,1396.44,99,,68.57,11.02
BLR,1990,1511.33,99.5,,68.55,11.72
BLR,1990,1210.61,99.59,,67.99,12.72
CARINFONET,1990,976.52,98.5,,69.11,
CARINFONET,1990,901.48,,,68.67,
CARINFONET,1990,884.04,97.3,,68.27,4.73
CARINFONET,1990,836.05,97.3,,66.44,4.16
CARINFONET,1990,764.41,97.3,,66.37,4.06
CARINFONET,1990,743.63,98.8,,66.52,2.79
CARINFONET,1990,755.91,,,66.53,2.17
CARINFONET,1990,785.11,98.7,,67.35,2.17
CARINFONET,1990,786.83,98.7,,67.55,2.32
CARINFONET,1990,709.38,,,68.72,2.04
CHE,1990,39607.82,99,,77.59,12.99
CHE,1990,39577.75,,18,77.9,12.9
CHE,1990,40747.93,99,19,78.22,12.33
CHE,1990,39270.11,99,19,78.48,12.33
CHE,1990,43128.01,99,19,78.79,11.79
CHE,1990,50155.97,99,19,78.82,11.45
CHE,1990,48144.58,,,79.31,11.33
CHE,1990,41631.44,99,,79.46,11.21
CHE,1990,42740.13,99,,79.73,11.07
CHE,1990,41786.23,,,79.98,11.05
CIS,1990,2480.59,99,,69.64,6.54
CIS,1990,2430.88,,,69.22,7.02
CIS,1990,2159.87,97.9,,68.37,6.32
CIS,1990,2026.19,97.6,,66.35,6.92
CIS,1990,1817.44,98.4,,65.6,6.86
CIS,1990,1802.5,99.2,,65.86,7.83
CIS,1990,1788.25,,,66.62,6.62
CIS,1990,1868.31,98.9,,67.41,6.74
CIS,1990,1366.34,99.3,,67.84,7.1
CIS,1990,1033.93,,,67.33,7.5
CYP,1990,9641.58,94.3,,,9.46
CYP,1990,9696.1,,,,9.16
CYP,1990,11310.07,94.4,,,10.38
CYP,1990,10526.14,,,,9.41
CYP,1990,11617.69,,,,9.53
CYP,1990,15261.41,96,,,9.47
CYP,1990,15139.23,,,,8.49
CYP,1990,14234.24,,,,8.33
CYP,1990,15092.83,,,,8.68
CYP,1990,15287.92,,,78.15,8.93
CZE,1990,3941.5,,,71.52,12.98
CZE,1990,2896.61,98.6,8.5,72.06,13.74
CZE,1990,3372.87,99,,72.43,14.39
CZE,1990,3956.18,99,,72.94,13.72
CZE,1990,4630.55,99,,73.15,13.83
CZE,1990,5824.12,99,,73.3,13.74
CZE,1990,6532.84,,,74.02,13.78
CZE,1990,6034.49,99,,74.13,14.05
CZE,1990,6489.7,99,,74.74,13.92
CZE,1990,6337.42,,,74.94,13.85
DEU,1990,22303.96,,,75.53,14.89
DEU,1990,23357.76,,,75.72,13.92
DEU,1990,26438.23,99,,76.21,13.84
DEU,1990,25522.63,99,,76.26,13.5
DEU,1990,27076.61,99,,76.59,13.37
DEU,1990,31658.35,99,,76.83,13.35
DEU,1990,30485.87,,,77.09,13.12
DEU,1990,26964.05,99,,77.52,13
DEU,1990,27289.06,99,,77.83,12.74
DEU,1990,26734.94,,,78.09,12.94
DNK,1990,26891.45,99,,75.11,11.85
DNK,1990,27011.38,,19.6,75.47,11.76
DNK,1990,29569.66,99,,75.48,11.94
DNK,1990,27597.98,99,,75.37,11.89
DNK,1990,29995.58,99,,75.56,12.14
DNK,1990,35351.37,99,,75.47,12.16
DNK,1990,35650.71,,,75.88,12.27
DNK,1990,32835.94,99,,76.27,12.2
DNK,1990,33368.14,99,,76.74,11.69
DNK,1990,33440.79,,,76.53,11.62
ESP,1990,13804.88,96.3,,77,12.98
ESP,1990,14811.9,96.5,8.4,77.09,12.88
ESP,1990,16112.19,98,,77.61,12.19
ESP,1990,13339.91,99,,77.74,11.67
ESP,1990,13415.29,97.1,,78.07,11.36
ESP,1990,15471.96,97,,78.1,11.09
ESP,1990,16109.08,,,78.21,10.86
ESP,1990,14730.8,97.2,,78.71,11.69
ESP,1990,15394.35,97.4,,78.73,11.58
ESP,1990,15720.64,,,78.79,11.33
EST,1990,3134.39,99.8,,67.79,8.27
EST,1990,3380.93,,,70,7.97
EST,1990,3682.95,99,,70.19,8.3
EST,1990,4093.39,99,,69.79,8.01
EST,1990,4140.94,,,70.64,8.85
EU_AFTER_MAY2004,1990,2561.13,98.5,,70.84,10.41
EU_AFTER_MAY2004,1990,2477.21,,,70.73,10.31
EU_AFTER_MAY2004,1990,2628.93,98.2,,70.84,10.01
EU_AFTER_MAY2004,1990,2729.15,98.3,,71,9.93
EU_AFTER_MAY2004,1990,3016.93,98.5,,71.02,9.7
EU_AFTER_MAY2004,1990,3671.64,98.8,,71.24,9.54
EU_AFTER_MAY2004,1990,3884.28,,,71.51,9.46
EU_AFTER_MAY2004,1990,3833.04,98.6,,71.74,9.84
EU_AFTER_MAY2004,1990,4197.39,99,,72.12,9.47
EU_AFTER_MAY2004,1990,4082.52,,,72.41,9.35
EU_BEFORE_MAY2004,1990,20007.44,98.1,,76.48,12.69
EU_BEFORE_MAY2004,1990,20718.51,,14.1,76.61,12.29
EU_BEFORE_MAY2004,1990,22479.37,98.2,,76.98,12.06
EU_BEFORE_MAY2004,1990,20308.03,98.3,,77,11.78
EU_BEFORE_MAY2004,1990,21439.77,98.4,,77.42,11.63
EU_BEFORE_MAY2004,1990,24753.75,98.4,,77.52,11.56
EU_BEFORE_MAY2004,1990,25188.75,,,77.75,11.33
EU_BEFORE_MAY2004,1990,23655.57,98.4,,78.11,11.35
EU_BEFORE_MAY2004,1990,24372.52,98.5,,78.19,11.22
EU_BEFORE_MAY2004,1990,24306.13,,,78.36,11.25
EU_MEMBERS,1990,15479.99,98.1,,75.05,12.46
EU_MEMBERS,1990,15976.84,,,75.11,12.07
EU_MEMBERS,1990,17507.64,98.1,,75.41,11.85
EU_MEMBERS,1990,15944.5,98.2,,75.51,11.61
EU_MEMBERS,1990,16840.84,98.3,,75.8,11.42
EU_MEMBERS,1990,19447.99,98.4,,75.97,11.29
EU_MEMBERS,1990,19743.74,,,76.21,11.06
EU_MEMBERS,1990,18082.77,98.4,,76.55,11.15
EU_MEMBERS,1990,18612.05,98.5,,76.71,10.92
EU_MEMBERS,1990,18469.11,,,76.93,10.91
EU_BEFORE_FEB2020,1990,15913.6,98.2,,75.16,12.16
EU_BEFORE_FEB2020,1990,16447.84,,,75.24,11.83
EU_BEFORE_FEB2020,1990,17865.96,98.2,,75.55,11.59
EU_BEFORE_FEB2020,1990,16238.23,98.3,,75.61,11.35
EU_BEFORE_FEB2020,1990,17185.63,98.4,,75.95,11.18
EU_BEFORE_FEB2020,1990,19900.19,98.5,,76.07,11.09
EU_BEFORE_FEB2020,1990,20309.31,,,76.32,10.9
EU_BEFORE_FEB2020,1990,19126.92,98.5,,76.65,11
EU_BEFORE_FEB2020,1990,19778.29,98.6,,76.81,10.82
EU_BEFORE_FEB2020,1990,19711.02,,,77.01,10.82
FIN,1990,28364.65,99,15.4,75.12,9.53
FIN,1990,25484.74,,15.71,75.56,9.22
FIN,1990,22319.06,99,16.13,75.8,8.88
FIN,1990,17608.81,100,16.58,75.99,8.39
FIN,1990,20301.33,100,17.07,76.79,8.16
FIN,1990,26271.6,100,,76.75,8.31
FIN,1990,25783.45,,,77.05,8.24
FIN,1990,24691.87,99,,77.24,8.56
FIN,1990,26009.27,99,,77.47,8.6
FIN,1990,26186.19,,,77.63,8.62
FRA,1990,21793.84,99,11.4,77.62,15.73
FRA,1990,21675.06,,,77.78,14.85
FRA,1990,23813.71,99,,78.08,14.72
FRA,1990,22380.11,99,,78.1,14.24
FRA,1990,23496.52,99,,78.61,14.11
FRA,1990,26890.22,99,,78.71,14.12
FRA,1990,26871.83,,,78.86,13.77
FRA,1990,24228.95,99,,79.24,13.31
FRA,1990,24974.27,99,,78.88,13.27
FRA,1990,24681.54,,,79.02,13.15
GBR,1990,19095.47,99,,75.96,9.96
GBR,1990,19900.73,,,76.15,10.01
GBR,1990,20487.17,99,,76.57,9.65
GBR,1990,18389.02,99,,76.38,9.45
GBR,1990,19709.24,99,,76.97,9.41
GBR,1990,23206.57,99,,76.87,9.7
GBR,1990,24438.53,,,77.15,9.75
GBR,1990,26742.98,99,,77.41,9.97
GBR,1990,28269.32,99,,77.54,10.14
GBR,1990,28726.86,,,77.62,10.16
GEO,1990,1614.64,99,,72.99,4.84
GEO,1990,1314.67,,,73.06,3.17
GEO,1990,757.22,99,,72.93,6.76
GEO,1990,550.02,99,,,6.51
GEO,1990,519.86,94.9,,,5.39
GEO,1990,578.34,99,,74.22,3.35
GEO,1990,689.06,,,75.15,3.5
GEO,1990,807.03,,,74.17,2.62
GEO,1990,851.53,99,,73.9,2.09
GEO,1990,673.54,,,73.84,2.06
GRC,1990,9600.19,94.9,,77.19,10.33
GRC,1990,10188.37,92.6,8.7,77.32,10.18
GRC,1990,11176.46,93.8,,77.29,9.99
GRC,1990,10401.98,93.8,,77.57,10.67
GRC,1990,11091.28,96.7,,77.73,10.43
GRC,1990,12959.32,96.2,,77.67,10.09
GRC,1990,13749.12,,,77.79,9.67
GRC,1990,13427.83,96.6,,78.12,9.5
GRC,1990,13472.14,96.9,,78.04,9.03
GRC,1990,13249.66,,,78.12,9.47
HRV,1990,4917.09,97.7,,73.3,10.91
HRV,1990,5283.01,,,72.69,11.1
HRV,1990,5312.37,97.7,,72.62,13.21
HRV,1990,5691.11,98,,72.49,13.84
HRV,1990,5246.94,,,72.82,12.15
HUN,1990,3350.26,,,69.5,15.43
HUN,1990,3735.11,99,,69.17,14.82
HUN,1990,3873.99,99,,69.17,14.16
HUN,1990,4173.37,99,,69.64,13.71
HUN,1990,4494.71,99.2,,70.05,12.56
HUN,1990,4525.04,,,70.65,12.55
HUN,1990,4596.18,99,,71.06,12.51
HUN,1990,4744.21,99.3,,70.97,12.69
HUN,1990,4793.48,,,70.75,12.09
IRL,1990,14031.3,99,,74.81,12.13
IRL,1990,14087.21,,13.1,75.03,12.2
IRL,1990,15714.38,99,,75.45,12.51
IRL,1990,14657.06,99,,75.33,12.34
IRL,1990,15902.93,99,,75.78,12.67
IRL,1990,19158.46,99,,75.48,12.86
IRL,1990,20835.9,,,75.88,13.66
IRL,1990,22551.11,99,,76.03,14.18
IRL,1990,24294.85,99,,76.24,14.44
IRL,1990,26338.11,,,76.11,14.95
ISL,1990,25384.92,99,,78.22,5.24
ISL,1990,26802.99,,,78.06,5.14
ISL,1990,27124.27,99,,78.87,4.73
ISL,1990,23579.8,99,,79.07,4.45
ISL,1990,24018.63,99,,79.35,4.61
ISL,1990,26633.59,99,,78.03,4.76
ISL,1990,27614.88,,,78.93,4.9
ISL,1990,27919.16,99,,78.97,5.1
ISL,1990,31030.05,99,,79.76,5.56
ISL,1990,32381.63,,,79.47,5.9
ISR,1990,18143.5,93.3,,77.5,1.5
ISR,1990,19357.11,,,78.42,1.62
ISR,1990,19663.04,95.4,,78.3,2.03
ISR,1990,19427.08,95.7,,78.46,2.09
ISR,1990,19129.19,,,78.75,2
ITA,1990,20825.78,98,,77.2,10.99
ITA,1990,21956.53,,,77.17,10.82
ITA,1990,23243.47,97.4,,77.46,10.55
ITA,1990,18738.76,97.4,,77.7,10.27
ITA,1990,19337.63,98.1,,77.92,10.12
ITA,1990,20664.55,98.2,,78.17,9.62
ITA,1990,23081.6,,,78.56,9.13
ITA,1990,21829.35,98.3,,78.84,9.12
ITA,1990,22318.14,98.3,,78.94,8.98
ITA,1990,22005.05,,,79.34,8.86
KAZ,1990,1647.46,99,,68.8,11.9
KAZ,1990,1514.92,,,68.37,12.77
KAZ,1990,1515.74,97.5,,68.23,10.96
KAZ,1990,1429.08,97.5,,66.38,10.43
KAZ,1990,1316.18,97.5,,65.9,8.78
KAZ,1990,1288.19,99.2,,64.65,4.91
KAZ,1990,1350.31,,,64.39,3.08
KAZ,1990,1445.5,99,,64.81,3.4
KAZ,1990,1468.67,99,,65,3.89
KAZ,1990,1130.12,99.51,,66.01,3.52
KGZ,1990,609.17,97,12.5,68.82,4.53
KGZ,1990,575.64,97,12.5,68.77,4.66
KGZ,1990,513.04,97,12.5,68.28,4.25
KGZ,1990,449.07,97,,66.79,2
KGZ,1990,372.31,97,,65.43,2.98
KGZ,1990,364.23,97,,65.5,1.66
KGZ,1990,394.86,,,66.66,2.53
KGZ,1990,376.43,97,,66.78,2.64
KGZ,1990,345.14,97,,67.23,3.31
KGZ,1990,258.05,98.7,28.22,68.33,1.69
LTU,1990,2167.79,99,,69.15,6.09
LTU,1990,2327.43,,,70.31,7.13
LTU,1990,2830.28,99,,71.15,7.34
LTU,1990,3166.67,99.5,,71.44,6.35
LTU,1990,3113.18,,,71.82,6.75
LUX,1990,33465.48,99,,75.53,15.03
LUX,1990,35747.34,,10.8,75.58,14.26
LUX,1990,39570.86,99,,76.12,14.18
LUX,1990,40066.72,99,,76.02,13.74
LUX,1990,43933.24,99,,77.05,13.61
LUX,1990,51032.35,99,,77.4,13.61
LUX,1990,50444.36,,,77.16,13.31
LUX,1990,46641.64,99,,77.79,13.03
LUX,1990,47445.38,99,,78.08,12.88
LUX,1990,50872.45,,,78.94,12.92
LVA,1990,2329.58,99.8,,66.44,9.08
LVA,1990,2431.71,,,68.8,8.37
LVA,1990,2683.24,99,,69.44,8.36
LVA,1990,2973.53,99.8,,69.11,8.94
LVA,1990,3151.58,,,70.18,8.84
MCO,1990,84303.88,,,,
MCO,1990,83721.99,,,,
MCO,1990,91670.6,,,,
MCO,1990,85397.33,,,,
MCO,1990,89378.04,,,,
MCO,1990,101866.6,100,,,
MCO,1990,101212,,,,
MCO,1990,90833.3,,,,
MCO,1990,92999.25,,,,
MCO,1990,91283.26,,,,
MDA,1990,593.77,98.3,,65.88,15.82
MDA,1990,575.32,,,66.73,16.44
MDA,1990,657.49,98.3,,66.98,16.4
MDA,1990,578.91,98.6,,67.93,16.87
MDA,1990,399.62,,,67.62,14.37
MKD,1990,2354.28,93.7,8.9,,
MKD,1990,2477.68,,,72.14,
MKD,1990,1225.37,,,71.27,7
MKD,1990,1352.03,,,72.02,5.09
MKD,1990,1796.23,94.1,6.7,72.24,7.54
MKD,1990,2373.38,94,,72.21,6.63
MKD,1990,2333.33,,,72.87,5.68
MKD,1990,1959.56,94,,72.75,5.53
MKD,1990,1875.82,94.6,,72.49,6.24
MKD,1990,1915.39,,,72.92,5.03
MLT,1990,7191.92,88.4,,76.19,7.21
MLT,1990,7558.28,,,75.98,7.22
MLT,1990,8220.25,87,,75.63,7.17
MLT,1990,7296.31,87,,77.01,7.21
MLT,1990,8000.52,86,,77.02,7.2
MLT,1990,9857.48,87.9,,77.32,7.19
MLT,1990,10062.73,,,77.47,7.22
MLT,1990,9909.89,91.1,,77.57,6.46
MLT,1990,10409.31,91.5,,77.48,6.7
MLT,1990,10633.6,,,77.31,6.81
NLD,1990,21290.86,,,77.18,9.91
NLD,1990,21732.23,,20.3,77.32,10.03
NLD,1990,23904.04,99,22.9,77.53,10.03
NLD,1990,23122.41,99,21,77.16,9.67
NLD,1990,24646.31,99,,77.67,9.68
NLD,1990,29258.13,99,22,77.7,9.8
NLD,1990,29006.81,,,77.72,9.8
NLD,1990,26700.54,99,,78.1,10.05
NLD,1990,27885.81,99,,78.17,9.93
NLD,1990,28272.64,,,78.1,10.06
NOR,1990,28242.94,99,17.9,76.7,4.99
NOR,1990,28596.93,,,77.21,4.9
NOR,1990,30523.99,99,,77.39,4.67
NOR,1990,27963.67,99,,77.31,4.55
NOR,1990,29315.84,99,18.7,77.93,4.74
NOR,1990,34875.7,99,,77.92,4.79
NOR,1990,37321.97,,,78.39,5.04
NOR,1990,36629.03,99,,78.36,5.28
NOR,1990,34788.36,99,,78.52,5.24
NOR,1990,36371.05,,,78.53,5.45
NORDIC,1990,28805.96,99,,76.42,8.38
NORDIC,1990,28749.21,,,76.75,8.3
NORDIC,1990,29352.14,99,,76.99,8.23
NORDIC,1990,24296.35,99.2,,76.99,8.09
NORDIC,1990,26269.76,99.2,20.3,77.58,8.2
NORDIC,1990,31336.07,99.2,,77.56,8.11
NORDIC,1990,32767.32,,,77.89,8.01
NORDIC,1990,30797.86,99,,78.08,8.19
NORDIC,1990,31002.48,99,,78.31,7.96
NORDIC,1990,31495.95,,,78.31,8.02
POL,1990,1731.21,99.6,,71,8.16
POL,1990,2235.54,,,70.68,8.63
POL,1990,2459.02,99,,71.19,8.27
POL,1990,2497.2,99,,71.68,8.39
POL,1990,2874.83,99.4,,71.79,8.31
POL,1990,3686.82,99.7,,72.01,8.01
POL,1990,4147.47,,,72.38,7.91
POL,1990,4123.14,99,,72.75,8.51
POL,1990,4518.11,99.7,7.9,73.14,8.32
POL,1990,4398.08,,,73.16,8.22
PRT,1990,7884.62,87.2,,74.1,15.21
PRT,1990,8958.99,87.9,7.7,74.06,14.78
PRT,1990,10810.57,86.2,,74.67,14.36
PRT,1990,9534.66,86.2,,74.54,14.17
PRT,1990,9977.32,89.6,,75.52,14.05
PRT,1990,11781.36,89.9,,75.35,13.59
PRT,1990,12185.09,,,75.34,12.84
PRT,1990,11575.51,90.8,,75.82,12.58
PRT,1990,12199.21,91.4,,76.02,12.48
PRT,1990,12475.29,,,76.26,13.18
ROU,1990,1680.71,97.1,,69.78,8.92
ROU,1990,1260.75,,,70.11,8.91
ROU,1990,1102.1,96.7,6.9,69.58,8.81
ROU,1990,1158.13,96.9,,69.51,9.01
ROU,1990,1323.1,96.9,,69.36,7.84
ROU,1990,1650.28,97.6,,69.38,8.2
ROU,1990,1633.01,,,68.85,8.05
ROU,1990,1577.32,97.8,,69.15,8.74
ROU,1990,1852.47,97.9,,69.92,7.28
ROU,1990,1599.89,,,70.59,7.66
RUS,1990,3492.71,99.2,,69.28,7.37
RUS,1990,3490.45,,,69.03,8.05
RUS,1990,3098.8,98.7,,67.92,7.07
RUS,1990,2930.67,98.7,,65.14,8.36
RUS,1990,2662.1,98.7,,64.03,8.66
RUS,1990,2665.78,99.4,,64.7,11.22
RUS,1990,2643.93,,,65.95,9.21
RUS,1990,2737.57,99,,66.88,9.25
RUS,1990,1834.86,99.5,,67.24,9.87
RUS,1990,1330.76,,,66.03,10.7
SEEHN,1990,2829.91,96.2,,71.16,7.88
SEEHN,1990,3205.08,96,,71.16,7.9
SEEHN,1990,3363.61,,,71.14,7.89
SEEHN,1990,3478.09,96.6,,71.29,7.89
SEEHN,1990,3573.03,96.7,,71.77,7.18
SEEHN,1990,3473.69,,,72.26,7.12
SMALL,1990,14124.08,95.8,,77.35,9.92
SMALL,1990,14910.35,,,76.82,9.69
SMALL,1990,16217.18,95.6,,76.77,9.95
SMALL,1990,15394.36,,,77.08,9.6
SMALL,1990,16527.79,,,77.21,9.63
SMALL,1990,19465.63,96.1,,77.15,9.63
SMALL,1990,19504.63,,,77.48,9.34
SMALL,1990,18522.48,,,77.31,9.15
SMALL,1990,19425.03,,,77.38,9.31
SMALL,1990,20268.6,,,77.44,9.44
SMR,1990,40864.33,,,81.63,
SRB,1990,2207.45,,,,
SRB,1990,2864.08,,,,
SRB,1990,3380.04,,,,
SRB,1990,2571.17,,,71.76,
SRB,1990,2571.3,,,71.77,
SVK,1990,2405.54,,,71.14,13.49
SVK,1990,2691.2,99,9.5,71.06,13.24
SVK,1990,2920.92,,,72.1,12.63
SVK,1990,3102.3,99,,72.62,12.04
SVK,1990,3771.36,99,,72.5,13.02
SVK,1990,4819.13,99,,72.45,12.55
SVK,1990,5196.94,,,72.98,12.86
SVK,1990,5146.67,99,,72.95,13.09
SVK,1990,5538.62,99,,72.8,12.13
SVK,1990,5645.58,,,73.24,12.13
SVN,1990,10730.45,99.6,,74.9,13.94
SVN,1990,10815.11,,,75.24,12.6
SVN,1990,10454.97,99,,75.26,11.44
SVN,1990,11175.77,99.6,,75.34,14.61
SVN,1990,11452.78,,,75.76,12.28
SWE,1990,30593.67,99,,77.77,7.41
SWE,1990,31822.8,,,77.94,7.47
SWE,1990,32800.98,99,,78.33,7.5
SWE,1990,24425.28,99,,78.32,7.51
SWE,1990,26083.61,99,21.2,79.03,7.71
SWE,1990,30282.96,99,23,79.07,7.33
SWE,1990,32998.97,,,79.29,6.9
SWE,1990,30312.49,99,,79.49,7.11
SWE,1990,30596.53,99,,79.58,6.8
SWE,1990,30941.08,,,79.63,6.88
TJK,1990,498.08,98.2,,69.78,
TJK,1990,250.34,,,70.12,
TJK,1990,391.94,96.7,,68.02,2.4
TJK,1990,293.98,96.7,,61.84,1.17
TJK,1990,267.43,96.7,,65.85,1.28
